16:30:22.266 [main] INFO  utilities.LoggerClass - Test case started: Calling the 'moveToMore' method
16:30:22.412 [main] INFO  utilities.LoggerClass - 'moveToMore' method executed: Successfully moved to 'More'
16:30:22.412 [main] INFO  utilities.LoggerClass - Test case completed: 'moveToMore' method called successfully
16:30:22.594 [main] INFO  utilities.LoggerClass - Test case started: Calling the 'selectGiftFromMoreList' method
16:30:23.143 [main] INFO  utilities.LoggerClass - 'selectGiftFromMoreList' method executed: Successfully selected 'Gift' from 'More' list
16:30:23.143 [main] INFO  utilities.LoggerClass - Test case completed: 'selectGiftFromMoreList' method called successfully
16:30:23.380 [main] INFO  utilities.LoggerClass - Test case started: Calling the 'switchToGiftVoucher' method
16:30:23.427 [main] INFO  utilities.LoggerClass - 'switchToGiftVoucher' method executed: Successfully switched to 'Gift Voucher'
16:30:23.427 [main] INFO  utilities.LoggerClass - Test case completed: 'switchToGiftVoucher' method called successfully
16:30:26.100 [main] INFO  utilities.LoggerClass - Test case started: Calling the 'checkForPhoneToolTip' method
16:30:27.749 [main] INFO  utilities.LoggerClass - 'checkForPhoneToolTip' method executed: Successfully checked for phone tooltip
16:30:27.750 [main] INFO  utilities.LoggerClass - Test case completed: 'checkForPhoneToolTip' method called successfully
16:30:27.883 [main] INFO  utilities.LoggerClass - Test case started: Calling the 'checkForEmailToolTip' method
16:30:29.544 [main] INFO  utilities.LoggerClass - 'checkForEmailToolTip' method executed: Successfully checked for email tooltip
16:30:29.544 [main] INFO  utilities.LoggerClass - Test case completed: 'checkForEmailToolTip' method called successfully
